Latitude: 5333,55 | Longitude: 1001,49 | Time: 125250 | Quality: 8,0000 | Direction: null | Altitude: 15,1000 | velocity: null
Latitude: 5333,77 | Longitude: 1001,60 | Time: 125251 | Quality: null | Direction: 154,0000 | Altitude: null | velocity: 10,0000
Latitude: 5333,77 | Longitude: 1001,60 | Time: 125251 | Quality: 8,0000 | Direction: null | Altitude: 15,2000 | velocity: null
Latitude: 5333,95 | Longitude: 1001,75 | Time: 125252 | Quality: 8,0000 | Direction: null | Altitude: 15,4000 | velocity: null
Latitude: 5333,95 | Longitude: 1001,75 | Time: 125253 | Quality: null | Direction: 126,0000 | Altitude: null | velocity: 10,1000
Latitude: 5334,08 | Longitude: 1001,85 | Time: 125253 | Quality: 8,0000 | Direction: null | Altitude: 15,5000 | velocity: null
Latitude: 5334,09 | Longitude: 1001,97 | Time: 125254 | Quality: null | Direction: 227,0000 | Altitude: null | velocity: 10,0000
Latitude: 5334,20 | Longitude: 1002,07 | Time: 125254 | Quality: 8,0000 | Direction: null | Altitude: 15,4000 | velocity: null
Latitude: 5334,22 | Longitude: 1002,17 | Time: 125255 | Quality: 8,0000 | Direction: null | Altitude: 15,5000 | velocity: null
Latitude: 5334,22 | Longitude: 1002,17 | Time: 125255 | Quality: null | Direction: 4,0000 | Altitude: null | velocity: 10,1000
Latitude: 5334,36 | Longitude: 1002,36 | Time: 125256 | Quality: 8,0000 | Direction: null | Altitude: 15,5000 | velocity: null
Latitude: 5334,48 | Longitude: 1002,50 | Time: 125257 | Quality: null | Direction: 326,0000 | Altitude: null | velocity: 10,1000
Latitude: 5334,50 | Longitude: 1002,50 | Time: 125257 | Quality: 8,0000 | Direction: null | Altitude: 15,8000 | velocity: null
Latitude: 5334,57 | Longitude: 1002,65 | Time: 125258 | Quality: null | Direction: 71,0000 | Altitude: null | velocity: 10,0000
Latitude: 5334,70 | Longitude: 1002,71 | Time: 125258 | Quality: 8,0000 | Direction: null | Altitude: 16,0000 | velocity: null
Latitude: 5334,81 | Longitude: 1002,84 | Time: 125259 | Quality: 8,0000 | Direction: null | Altitude: 15,8000 | velocity: null
Latitude: 5334,81 | Longitude: 1002,84 | Time: 125300 | Quality: null | Direction: 49,0000 | Altitude: null | velocity: 10,0000
Latitude: 5334,99 | Longitude: 1002,92 | Time: 125300 | Quality: 8,0000 | Direction: null | Altitude: 15,6000 | velocity: null
Latitude: 5335,09 | Longitude: 1003,00 | Time: 125301 | Quality: null | Direction: 335,0000 | Altitude: null | velocity: 10,0000
Latitude: 5335,10 | Longitude: 1003,10 | Time: 125301 | Quality: 8,0000 | Direction: null | Altitude: 15,8000 | velocity: null
Latitude: 5335,30 | Longitude: 1003,23 | Time: 125302 | Quality: 8,0000 | Direction: null | Altitude: 15,7000 | velocity: null
Latitude: 5335,30 | Longitude: 1003,23 | Time: 125302 | Quality: null | Direction: 102,0000 | Altitude: null | velocity: 10,0000
Latitude: 5335,47 | Longitude: 1003,42 | Time: 125303 | Quality: 8,0000 | Direction: null | Altitude: 15,5000 | velocity: null
Latitude: 5335,47 | Longitude: 1003,42 | Time: 125304 | Quality: null | Direction: 11,0000 | Altitude: null | velocity: 10,0000
Latitude: 5335,55 | Longitude: 1003,62 | Time: 125304 | Quality: 8,0000 | Direction: null | Altitude: 15,8000 | velocity: null
Latitude: 5335,64 | Longitude: 1003,65 | Time: 125305 | Quality: null | Direction: 34,0000 | Altitude: null | velocity: 10,1000
Latitude: 5335,72 | Longitude: 1003,78 | Time: 125305 | Quality: 8,0000 | Direction: null | Altitude: 15,9000 | velocity: null
Latitude: 5335,93 | Longitude: 1003,93 | Time: 125306 | Quality: 8,0000 | Direction: null | Altitude: 15,8000 | velocity: null
Latitude: 5335,93 | Longitude: 1003,93 | Time: 125306 | Quality: null | Direction: 198,0000 | Altitude: null | velocity: 10,1000
Latitude: 5336,13 | Longitude: 1004,12 | Time: 125307 | Quality: 8,0000 | Direction: null | Altitude: 15,5000 | velocity: null
Latitude: 5336,13 | Longitude: 1004,16 | Time: 125308 | Quality: null | Direction: 152,0000 | Altitude: null | velocity: 10,1000
Latitude: 5336,16 | Longitude: 1004,24 | Time: 125308 | Quality: 8,0000 | Direction: null | Altitude: 15,3000 | velocity: null
Latitude: 5336,29 | Longitude: 1004,37 | Time: 125309 | Quality: null | Direction: 18,0000 | Altitude: null | velocity: 10,0000
Latitude: 5336,40 | Longitude: 1004,37 | Time: 125309 | Quality: 8,0000 | Direction: null | Altitude: 15,1000 | velocity: null
Latitude: 5336,40 | Longitude: 1004,37 | Time: 125310 | Quality: 8,0000 | Direction: null | Altitude: 15,0000 | velocity: null
Latitude: 5336,40 | Longitude: 1004,37 | Time: 125311 | Quality: null | Direction: 88,0000 | Altitude: null | velocity: 10,0000
Latitude: 5336,44 | Longitude: 1004,52 | Time: 125311 | Quality: 8,0000 | Direction: null | Altitude: 15,4000 | velocity: null
